"Age","avg_payment"
41,"2.7682926829268293"
40,"2.7611940298507463"
31,"2.7360000000000000"
32,"2.7348484848484848"
28,"2.7190476190476190"
38,"2.7132352941176471"
33,"2.7096774193548387"
37,"2.7092198581560284"
29,"2.7043478260869565"
24,"2.7012987012987013"
27,"2.7008000000000000"
35,"2.6991869918699187"
26,"2.6961240310077519"
25,"2.6866028708133971"
34,"2.6691176470588235"
39,"2.6564885496183206"
23,"2.6458333333333333"
30,"2.6363636363636364"
22,"2.6326530612244898"
36,"2.6187050359712230"
